program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,1.8923076923076922,1.9153846153846155,1.8403846153846153,1.4455128205128203,1.4538461538461538,1.5326923076923078,1.7,1.15
bv,19,1.9444444444444444,2.111111111111111,1.5,1.6944444444444446,1.4722222222222223,1.7361111111111112,2.111111111111111,1.1666666666666667
gcm,13,1.455968688845401,1.1911285061969994,1.2930528375733856,1.0136986301369884,1.1086105675146771,1.0215264187866946,1.1508318738472048,0.7876948573784802
ising,26,1.42,1.0433333333333332,1.11,0.6716666666666667,1.04,0.5833333333333335,1.0107518276895142,0.7206838530793581
knn,25,1.4880952380952381,1.3928571428571428,1.5446428571428572,1.1577380952380953,1.25,1.2470238095238095,1.369047619047619,0.9642857142857143
multiplier,15,2.2387387387387387,2.1036036036036037,2.0,1.6355105105105103,1.7477477477477477,1.670045045045045,2.1036036036036037,1.2736486486486487
qec9xz,17,3.1875,3.1875,2.8359375,2.4843749999999996,2.390625,2.546875,3.09375,1.890625
qft,18,1.6699346405228759,1.515250544662311,1.2696078431372548,1.1209150326797397,1.1241830065359477,1.1601307189542485,1.413577784120647,0.7190741370705998
qpeexact,16,2.4307692307692306,2.1038461538461544,1.8692307692307693,1.6208333333333376,1.6826923076923077,1.6676282051282056,2.0595181978665864,1.1241134643554687
qram,20,2.4153846153846152,2.3153846153846156,2.1865384615384613,1.8705128205128192,1.85,1.8653846153846154,2.2153846153846155,1.4096153846153847
sat,11,2.003968253968254,1.8134920634920635,1.8333333333333333,1.4424603174603168,1.5238095238095237,1.4851190476190477,1.8134920634920635,1.130952380952381
swap_test,25,1.5,1.4880952380952381,1.5982142857142858,1.142857142857143,1.2083333333333333,1.181547619047619,1.380952380952381,1.0267857142857142
wstate,27,1.6923076923076923,1.4615384615384615,1.9759615384615385,1.5,1.4230769230769231,1.5961538461538463,1.4615384615384615,1.2884615384615385
